,d,K,norm,sigma,n,trial,loc_median,scale_iqr,skew_quantile,loc_mle,scale_mle,kappa_mle
121,2.0,-2.0,0.0,0.25,16.0,1.0,-0.028667309321463108,0.21974468231201172,-0.7390852964463651,7.970634686675269e-08,0.12735333325714498,1.7015539791623766
122,2.0,-2.0,0.0,0.25,16.0,2.0,-0.010552864987403154,0.24512897431850433,-0.9138994888976979,2.589141843130742e-08,0.1267602518392803,1.805652516262155
123,2.0,-2.0,0.0,0.25,16.0,3.0,-0.00864634895697236,0.21993153542280197,-0.9213723585355743,0.0011501689363436814,0.1108756032744668,1.9048760770530548
124,2.0,-2.0,0.0,0.25,16.0,4.0,-0.015950890257954597,0.15403355285525322,-0.7928907051446927,1.1354534961368504e-09,0.08567658474707895,1.6448141945242447
125,2.0,-2.0,0.0,0.25,16.0,5.0,-0.019667621701955795,0.20355188846588135,-0.8067556940867938,1.295491377108533e-08,0.10924140742959813,1.6097839077480995
126,2.0,-2.0,0.0,0.25,16.0,6.0,-0.01015689829364419,0.1628529131412506,-0.8752629216422478,1.967186591471345e-08,0.08545045183419553,1.7462028737902555
127,2.0,-2.0,0.0,0.25,16.0,7.0,-0.012701310217380524,0.16484105959534645,-0.8458962803495703,2.308011572243634e-08,0.08655888972600151,1.6753170716783727
128,2.0,-2.0,0.0,0.25,16.0,8.0,-0.024379238486289978,0.22427351772785187,-0.7825936942240916,2.8288598477908046e-08,0.12070588612366505,1.6777334619313038
129,2.0,-2.0,0.0,0.25,16.0,9.0,-0.015162536408752203,0.24353810772299767,-0.8754812004534568,5.895649617716762e-08,0.12055098747662876,1.7355112289908572
130,2.0,-2.0,0.0,0.25,32.0,0.0,-0.048477647826075554,0.2572562242858112,-0.5480119608611066,3.716404528604394e-07,0.14293902379456108,1.6131447756754995
131,2.0,-2.0,0.0,0.25,32.0,1.0,-0.02887783572077751,0.16622816841118038,-0.5958128131763712,3.5240180831376405e-08,0.0875180475611127,1.6010477044388778
132,2.0,-2.0,0.0,0.25,32.0,2.0,-0.019493108615279198,0.19281953513564076,-0.7886445661570531,0.0003861903231065519,0.10091495150216374,1.6843922565740743
133,2.0,-2.0,0.0,0.25,32.0,3.0,-0.03376658633351326,0.1911257931496948,-0.5849077864921123,1.9289887639082165e-07,0.10308907557080266,1.5801886309887365
134,2.0,-2.0,0.0,0.25,32.0,4.0,-0.02598672267049551,0.2162291689310223,-0.7267103125320149,0.0006064918393514919,0.11094600348966929,1.6526897753104663
135,2.0,-2.0,0.0,0.25,32.0,5.0,-0.02345842495560646,0.16306579165393487,-0.6688791392366069,0.0030886055761733524,0.09343540297022956,1.7152941052759605
136,2.0,-2.0,0.0,0.25,32.0,6.0,-0.03758521378040314,0.23692032729741186,-0.6347867015863996,7.386626301349346e-08,0.12498465565802842,1.598207945397272
137,2.0,-2.0,0.0,0.25,32.0,7.0,-0.019545024260878563,0.11038448318140581,-0.5831573795066473,0.0005185890627714938,0.07451617346395487,1.6445327152610398
138,2.0,-2.0,0.0,0.25,32.0,8.0,-0.014552584383636713,0.2032379913580371,-0.8472545308715277,0.0017877963742014072,0.10653137810025073,1.7765984567044173
139,2.0,-2.0,0.0,0.25,32.0,9.0,-0.056003388017416,0.2687682786490768,-0.48156560430204065,2.0698873336259091e-07,0.1449107751459438,1.6002311497422181
140,2.0,-2.0,0.0,0.25,64.0,0.0,-0.03893175534904003,0.18847039458341897,-0.44744014262760035,0.008563174670020123,0.09933925048750167,1.657907459288815
141,2.0,-2.0,0.0,0.25,64.0,1.0,-0.017868170514702797,0.09781236096750945,-0.5201865573760631,0.0026289276155408844,0.053831482307517636,1.6269644450313674
142,2.0,-2.0,0.0,0.25,64.0,2.0,-0.03071404155343771,0.15269219828769565,-0.4862192028344247,0.0016791296255421202,0.08395895734746346,1.580895021436334
143,2.0,-2.0,0.0,0.25,64.0,3.0,-0.042669445276260376,0.1876602356787771,-0.3800309263868184,0.004675639662553337,0.10286794975487515,1.582233781163958
144,2.0,-2.0,0.0,0.25,64.0,4.0,-0.051821235567331314,0.23874565633013844,-0.42009719857110167,0.004133358249660631,0.12644293160099981,1.573654983978285
145,2.0,-2.0,0.0,0.25,64.0,5.0,-0.0444222055375576,0.22355043957941234,-0.4904217770319051,0.006487398292274809,0.1201743297307839,1.635463666761395
146,2.0,-2.0,0.0,0.25,64.0,6.0,-0.03530837222933769,0.16981192119419575,-0.4698994256490454,0.0025784440998145924,0.09317455813838908,1.5918114475915726
147,2.0,-2.0,0.0,0.25,64.0,7.0,-0.04122938960790634,0.21939671458676457,-0.5318225431987276,0.004866614315212743,0.11790046470612497,1.636821394251701
148,2.0,-2.0,0.0,0.25,64.0,8.0,-0.040226949378848076,0.20559821440838277,-0.4846487234603135,0.006537094283221349,0.11283218488830371,1.6312657890040718
